2023-07-23 21:20:18,455 INFO    StreamThr :11794 [internal.py:wandb_internal():86] W&B internal server running at pid: 11794, started at: 2023-07-23 21:20:18.455782
2023-07-23 21:20:18,456 DEBUG   HandlerThread:11794 [handler.py:handle_request():144] handle_request: status
2023-07-23 21:20:18,457 INFO    WriterThread:11794 [datastore.py:open_for_write():85] open: /Users/sanchaythalnerkar/Desktop/HRGPT/wandb/run-20230723_212018-a8hmiuli/run-a8hmiuli.wandb
2023-07-23 21:20:18,457 DEBUG   SenderThread:11794 [sender.py:send():369] send: header
2023-07-23 21:20:18,476 DEBUG   SenderThread:11794 [sender.py:send():369] send: run
2023-07-23 21:20:19,121 INFO    SenderThread:11794 [dir_watcher.py:__init__():211] watching files in: /Users/sanchaythalnerkar/Desktop/HRGPT/wandb/run-20230723_212018-a8hmiuli/files
2023-07-23 21:20:19,121 INFO    SenderThread:11794 [sender.py:_start_run_threads():1100] run started: a8hmiuli with start time 1690127418.455963
2023-07-23 21:20:19,121 DEBUG   SenderThread:11794 [sender.py:send_request():396] send_request: summary_record
2023-07-23 21:20:19,122 INFO    SenderThread:11794 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-23 21:20:19,123 DEBUG   HandlerThread:11794 [handler.py:handle_request():144] handle_request: check_version
2023-07-23 21:20:19,123 DEBUG   SenderThread:11794 [sender.py:send_request():396] send_request: check_version
2023-07-23 21:20:19,159 DEBUG   HandlerThread:11794 [handler.py:handle_request():144] handle_request: run_start
2023-07-23 21:20:19,168 DEBUG   HandlerThread:11794 [system_info.py:__init__():31] System info init
2023-07-23 21:20:19,168 DEBUG   HandlerThread:11794 [system_info.py:__init__():46] System info init done
2023-07-23 21:20:19,168 INFO    HandlerThread:11794 [system_monitor.py:start():181] Starting system monitor
2023-07-23 21:20:19,168 INFO    SystemMonitor:11794 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-23 21:20:19,168 INFO    HandlerThread:11794 [system_monitor.py:probe():201] Collecting system info
2023-07-23 21:20:19,169 INFO    SystemMonitor:11794 [interfaces.py:start():190] Started cpu monitoring
2023-07-23 21:20:19,169 DEBUG   HandlerThread:11794 [system_info.py:probe():195] Probing system
2023-07-23 21:20:19,169 INFO    SystemMonitor:11794 [interfaces.py:start():190] Started disk monitoring
2023-07-23 21:20:19,170 INFO    SystemMonitor:11794 [interfaces.py:start():190] Started gpuapple monitoring
2023-07-23 21:20:19,171 INFO    SystemMonitor:11794 [interfaces.py:start():190] Started memory monitoring
2023-07-23 21:20:19,172 INFO    SystemMonitor:11794 [interfaces.py:start():190] Started network monitoring
2023-07-23 21:20:19,181 DEBUG   HandlerThread:11794 [system_info.py:_probe_git():180] Probing git
2023-07-23 21:20:19,190 DEBUG   HandlerThread:11794 [system_info.py:_probe_git():188] Probing git done
2023-07-23 21:20:19,191 DEBUG   HandlerThread:11794 [system_info.py:probe():240] Probing system done
